theTimes theMdot theDWR theX theY theZ theAltitude theVx theVy theVz thePitch theYaw theAOA theMach thePdyn theFlux theThrust theDrag theAcc theAccProp theGuidFlag theVrel theFPARel theFPA theLON theLAT theNGV theDV_drag theDV_Prop theMass Flag_HSSep Flag_MPLSep stage thePOS_ECI_x thePOS_ECI_y thePOS_ECI_z theVEL_ECI_x theVEL_ECI_y theVEL_ECI_z theVREL_ECI_x theVREL_ECI_y theVREL_ECI_z
0.2216327603 2895.3 0 918065.8857 -5530509.859 3031388.718 0.1269520428 403.4557324 65.95465209 0.5506442315 1.570796327 3.050848418 0.002586302768 0.003368474391 0.8047560664 0.9224568718 8222578.575 2.544942105 14.96760116 14.9676058 1 1.1462565 1.565394542 0.002803838105 -1.40631231 0.4985072101 14.96760116 3.425194292e-07 3.315373524 549358.3067 0 0 1 918065.8857 -5530509.859 3031388.718 403.4557324 65.95465209 0.5506442315 0.1645934055 -0.9917680699 0.5506442315
0.2535384243 2895.3 0 918078.7586 -5530507.757 3031388.737 0.1661612745 403.4793156 65.81254134 0.6300661033 1.570796327 3.050848418 0.002585698302 0.003854330611 1.053643581 1.381945952 8222581.262 3.33180093 14.9701219 14.97012797 1 1.311587692 1.565395137 0.003208249347 -1.40631231 0.4985072101 14.9701219 5.131906145e-07 3.792965161 549265.9302 0 0 1 918078.7586 -5530507.757 3031388.737 403.4793156 65.81254134 0.6300661033 0.1883299102 -1.134817529 0.6300661033
0.2854440882 2895.3 0 918091.6322 -5530505.66 3031388.759 0.2106467728 403.5029098 65.67036077 0.7095264398 1.570796327 3.050848418 0.00258509725 0.004340423942 1.336158171 1.973504729 8222584.311 4.224884579 14.97264395 14.97265164 1 1.476999334 1.565395727 0.00361285636 -1.40631231 0.4985072101 14.97264395 7.326869727e-07 4.270637293 549173.5537 0 0 1 918091.6322 -5530505.66 3031388.759 403.5029098 65.67036077 0.7095264398 0.2120770221 -1.277936853 0.7095264398
0.3173497522 2895.3 0 918104.5066 -5530503.567 3031388.783 0.2604110995 403.5265149 65.52811036 0.7890252611 1.570796327 3.050848418 0.002584499611 0.004826754595 1.652347996 2.713967488 8222587.721 5.224324427 14.97516731 14.97517683 1 1.642491469 1.565396313 0.004017659117 -1.40631231 0.4985072101 14.97516731 1.007200674e-06 4.748389968 549081.1773 0 0 1 918104.5066 -5530503.567 3031388.783 403.5265149 65.52811036 0.7890252611 0.2358347472 -1.42112608 0.7890252611
0.3492554161 2895.3 0 918117.3818 -5530501.478 3031388.809 0.3154568393 403.550131 65.38579007 0.8685625875 1.570796327 3.050848418 0.002583905385 0.005313322783 2.002261175 3.62021663 8222591.494 6.33025166 14.97769199 14.97770352 1 1.80806414 1.565396894 0.004422657592 -1.40631231 0.4985072101 14.97769199 1.342934644e-06 5.226223236 548988.8008 0 0 1 918117.3818 -5530501.478 3031388.809 403.550131 65.38579007 0.8685625875 0.2596030915 -1.564385247 0.8685625875
0.3971139121 2895.3 0 918136.6959 -5530498.354 3031388.853 0.4079336962 403.5855756 65.17217851 0.9879408188 1.570796327 3.050848418 0.002583020439 0.00604362091 2.590467386 5.327488503 8222597.831 8.189092856 14.98148147 14.98149639 1 2.056574243 1.565397757 0.005030522215 -1.40631231 0.4985072102 14.98148147 1.975891942e-06 5.943124359 548850.2361 0 0 1 918136.6959 -5530498.354 3031388.853 403.5855756 65.17217851 0.9879408188 0.2952755317 -1.779405214 0.9879408188
0.444972408 2895.3 0 918156.0118 -5530495.24 3031388.904 0.5123081766 403.6210449 64.9584095 1.107405801 1.570796327 3.050848418 0.002582143163 0.006774454691 3.254821381 7.503228383 8222604.984 10.28826666 14.98527391 14.98529266 1 2.30526579 1.56539861 0.005638827048 -1.40631231 0.4985072102 14.98527391 2.781597138e-06 6.660207085 548711.6714 0 0 1 918156.0118 -5530495.24 3031388.904 403.6210449 64.9584095 1.107405801 0.3309718984 -1.994582753 1.107405801
0.4928309039 2895.3 0 918175.3293 -5530492.136 3031388.959 0.6285889661 403.6565389 64.74448293 1.226957602 1.570796327 3.050848418 0.00258127355 0.007505824844 3.995485025 10.20502383 8222612.953 12.62821341 14.98906932 14.98909234 1 2.554138924 1.565399452 0.006247571998 -1.40631231 0.4985072103 14.98906932 3.781121099e-06 7.377471577 548573.1067 0 0 1 918175.3293 -5530492.136 3031388.959 403.6565389 64.74448293 1.226957602 0.3666922117 -2.209917987 1.226957602
0.5406893999 2895.3 0 918194.6486 -5530489.043 3031389.021 0.7567847567 403.6920576 64.53039865 1.346596292 1.570796327 3.050848418 0.002580411596 0.008237732092 4.812619965 13.4907064 8222621.738 15.20937244 14.9928677 14.99289543 1 2.80319379 1.565400284 0.006856756968 -1.40631231 0.4985072103 14.9928677 4.995589034e-06 8.094917997 548434.542 0 0 1 918194.6486 -5530489.043 3031389.021 403.6920576 64.53039865 1.346596292 0.4024364917 -2.425411042 1.346596292
0.6124771438 2895.3 0 918223.6306 -5530484.422 3031389.124 0.9714381099 403.745382 64.20897629 1.526217391 1.570796327 3.050848418 0.002579133013 0.009336601599 6.182059118 19.64112603 8222636.448 19.53434266 14.99857083 14.99860646 1 3.177117148 1.565401512 0.007771359248 -1.40631231 0.4985072104 14.99857083 7.269975847e-06 9.171429125 548226.6949 0 0 1 918223.6306 -5530484.422 3031389.124 403.745382 64.20897629 1.526217391 0.4560978933 -2.748946809 1.526217391
